Experiment CUSExperiment_Hetero
Sweep across services proximity importance, using heterogeneous agents..
Experiment started 2015-04-21 174913

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	True
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1, 2]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 175507, 3,                    0,                  0.4,0.5686,0.1965
 2015-04-21 175512, 3,                    0,                  0.4,0.5876,0.1918
 2015-04-21 175516, 3,                    0,                  0.4,0.4886,0.2028
 2015-04-21 175521, 3,                    0,                  0.4,0.3532,0.2172
 2015-04-21 175525, 3,                    0,                  0.4,0.5478,0.1954
 2015-04-21 175530, 3,                    0,                  0.4,0.5235,0.1962
 2015-04-21 175535, 3,                    0,                  0.4,0.5181,0.1986
 2015-04-21 175539, 3,                    0,                  0.4,0.3946,0.2118
 2015-04-21 175544, 3,                    0,                  0.4,0.3678,0.2115
 2015-04-21 175548, 3,                    0,                  0.4,0.4993,0.2002
 2015-04-21 175553, 3,                    0,                  0.4,0.5537,0.1978
 2015-04-21 175557, 3,                    0,                  0.4,0.5332,0.1944
averages: ,,                    0,                  0.4,0.5002,0.2003
standard deviations: ,,                    0,                  0.4,0.0689,0.0069
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.6000000000000001
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 175602, 4,                    0,   0.6000000000000001,0.6428,0.1849
 2015-04-21 175606, 4,                    0,   0.6000000000000001,0.5223,0.1959
 2015-04-21 175611, 4,                    0,   0.6000000000000001,0.6515,0.1820
 2015-04-21 175615, 4,                    0,   0.6000000000000001,0.5176,0.1984
 2015-04-21 175619, 4,                    0,   0.6000000000000001,0.6542,0.1841
 2015-04-21 175624, 4,                    0,   0.6000000000000001,0.5874,0.1939
 2015-04-21 175628, 4,                    0,   0.6000000000000001,0.5998,0.1875
 2015-04-21 175633, 4,                    0,   0.6000000000000001,0.6651,0.1826
 2015-04-21 175637, 4,                    0,   0.6000000000000001,0.5433,0.1917
