Experiment CUSExperiment_Main
Sweep across services proximity importance.
Experiment started 2015-04-20 022217

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 022755, 3,                    0,                  0.4,0.4248,0.2080
 2015-04-20 022800, 3,                    0,                  0.4,0.4391,0.2047
 2015-04-20 022804, 3,                    0,                  0.4,0.4844,0.1967
 2015-04-20 022808, 3,                    0,                  0.4,0.5045,0.1998
 2015-04-20 022813, 3,                    0,                  0.4,0.4854,0.1977
 2015-04-20 022817, 3,                    0,                  0.4,0.5295,0.1907
 2015-04-20 022822, 3,                    0,                  0.4,0.4601,0.2039
 2015-04-20 022826, 3,                    0,                  0.4,0.5460,0.1932
 2015-04-20 022830, 3,                    0,                  0.4,0.4636,0.2044
 2015-04-20 022835, 3,                    0,                  0.4,0.5545,0.1911
 2015-04-20 022839, 3,                    0,                  0.4,0.4700,0.1979
 2015-04-20 022844, 3,                    0,                  0.4,0.3639,0.2171
averages: ,,                    0,                  0.4,0.4803,0.2000
standard deviations: ,,                    0,                  0.4,0.0475,0.0061
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.6000000000000001
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 022848, 4,                    0,   0.6000000000000001,0.6186,0.1821
 2015-04-20 022853, 4,                    0,   0.6000000000000001,0.7069,0.1718
 2015-04-20 022857, 4,                    0,   0.6000000000000001,0.7047,0.1727
 2015-04-20 022901, 4,                    0,   0.6000000000000001,0.6839,0.1784
 2015-04-20 022906, 4,                    0,   0.6000000000000001,0.7131,0.1760
 2015-04-20 022910, 4,                    0,   0.6000000000000001,0.6718,0.1759
 2015-04-20 022915, 4,                    0,   0.6000000000000001,0.7208,0.1721
 2015-04-20 022919, 4,                    0,   0.6000000000000001,0.6473,0.1806
 2015-04-20 022924, 4,                    0,   0.6000000000000001,0.6911,0.1756
 2015-04-20 022928, 4,                    0,   0.6000000000000001,0.7072,0.1731
 2015-04-20 022933, 4,                    0,   0.6000000000000001,0.7272,0.1717
 2015-04-20 022937, 4,                    0,   0.6000000000000001,0.6525,0.1814
 2015-04-20 022941, 4,                    0,   0.6000000000000001,0.7171,0.1731
 2015-04-20 022946, 4,                    0,   0.6000000000000001,0.7196,0.1709
 2015-04-20 022950, 4,                    0,   0.6000000000000001,0.7188,0.1704
 2015-04-20 022955, 4,                    0,   0.6000000000000001,0.7163,0.1748
 2015-04-20 022959, 4,                    0,   0.6000000000000001,0.7287,0.1746
 2015-04-20 023003, 4,                    0,   0.6000000000000001,0.7059,0.1742
 2015-04-20 023008, 4,                    0,   0.6000000000000001,0.7089,0.1741
 2015-04-20 023013, 4,                    0,   0.6000000000000001,0.6844,0.1758
 2015-04-20 023017, 4,                    0,   0.6000000000000001,0.7092,0.1728
 2015-04-20 023021, 4,                    0,   0.6000000000000001,0.7307,0.1717
 2015-04-20 023026, 4,                    0,   0.6000000000000001,0.6589,0.1775
